Tue 10 Sep 2024, 10:54PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
1.268, 0, Clicked: RED, x=1042,  y=841,  DARK_RED: x=1052,  y=867,  dx=-0.08959004460169205,  dy=0.04442548714720898,  clicks=1,  score=1, ORANGE: x=662,  y=415,  dx=0.014077839927156664,  dy=-0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1411,  y=756,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
1.433, 1, Clicked: RED, x=1042,  y=841,  DARK_RED: x=1034,  y=876,  dx=-0.08959004460169205,  dy=0.04442548714720898,  clicks=2,  score=2, ORANGE: x=665,  y=395,  dx=0.014077839927156664,  dy=-0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1391,  y=756,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
1.53, 2, Clicked: RED, x=1042,  y=841,  DARK_RED: x=1023,  y=881,  dx=-0.08959004460169205,  dy=0.04442548714720898,  clicks=3,  score=3, ORANGE: x=667,  y=384,  dx=0.014077839927156664,  dy=-0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1379,  y=756,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
1.675, 3, Clicked: None, x=1041, y=840,  RED: x=1007,  y=889,  dx=-0.08959004460169205,  dy=0.04442548714720898,  clicks=3,  score=3, ORANGE: x=669,  y=366,  dx=0.014077839927156664,  dy=-0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1361,  y=755,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
1.904, 3, Clicked: RED, x=991,  y=855,  DARK_RED: x=982,  y=902,  dx=-0.08959004460169205,  dy=0.04442548714720898,  clicks=4,  score=4, ORANGE: x=673,  y=338,  dx=0.014077839927156664,  dy=-0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1333,  y=755,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
2.379, 4, Clicked: RED, x=947,  y=888,  DARK_RED: x=930,  y=912,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=5,  score=5, ORANGE: x=681,  y=281,  dx=0.014077839927156664,  dy=-0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1275,  y=754,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
3.036, 5, Clicked: RED, x=839,  y=846,  DARK_RED: x=858,  y=876,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=6,  score=6, ORANGE: x=693,  y=201,  dx=0.014077839927156664,  dy=-0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1195,  y=752,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
3.447, 6, Clicked: RED, x=839,  y=827,  DARK_RED: x=813,  y=854,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=7,  score=7, ORANGE: x=700,  y=165,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1145,  y=751,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
3.593, 7, Clicked: RED, x=839,  y=827,  DARK_RED: x=797,  y=846,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=8,  score=8, ORANGE: x=702,  y=183,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1127,  y=751,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
3.954, 8, Clicked: RED, x=781,  y=820,  DARK_RED: x=758,  y=826,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=9,  score=9, ORANGE: x=708,  y=227,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1083,  y=750,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
4.069, 9, Clicked: RED, x=781,  y=820,  DARK_RED: x=745,  y=820,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=10,  score=10, ORANGE: x=710,  y=241,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1069,  y=749,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
4.565, 10, Clicked: RED, x=691,  y=764,  DARK_RED: x=692,  y=793,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=11,  score=11, ORANGE: x=719,  y=300,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=1009,  y=748,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
4.731, 11, Clicked: RED, x=691,  y=764,  DARK_RED: x=674,  y=784,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=12,  score=12, ORANGE: x=722,  y=320,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=989,  y=748,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
4.862, 12, Clicked: RED, x=689,  y=764,  DARK_RED: x=659,  y=777,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=13,  score=13, ORANGE: x=724,  y=336,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=973,  y=747,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
5.01, 13, Clicked: RED, x=660,  y=759,  DARK_RED: x=643,  y=769,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=14,  score=14, ORANGE: x=727,  y=354,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=955,  y=747,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
5.175, 14, Clicked: RED, x=641,  y=756,  DARK_RED: x=625,  y=760,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=15,  score=15, ORANGE: x=729,  y=373,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=935,  y=747,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
5.488, 15, Clicked: RED, x=606,  y=753,  DARK_RED: x=591,  y=744,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=16,  score=16, ORANGE: x=735,  y=411,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=897,  y=746,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
5.62, 16, Clicked: RED, x=598,  y=753,  DARK_RED: x=577,  y=736,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=17,  score=17, ORANGE: x=737,  y=427,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=881,  y=745,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
