Sun 08 Sep 2024, 04:47PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
2.228, 0, Clicked: YELLOW, x=431,  y=732,  RED: x=365,  y=269,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=665,  y=663,  dx=-0.09181158318945525,  dy=-0.0396312148721906,  clicks=0,  score=0, DARK_YELLOW: x=444,  y=720,  dx=-0.018646611853917094,  dy=-0.09824613919319863,  clicks=1,  score=1,
2.546, 1, Clicked: YELLOW, x=435,  y=665,  RED: x=328,  y=279,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=630,  y=648,  dx=-0.09181158318945525,  dy=-0.0396312148721906,  clicks=0,  score=0, DARK_YELLOW: x=437,  y=683,  dx=-0.018646611853917094,  dy=-0.09824613919319863,  clicks=2,  score=2,
2.678, 2, Clicked: YELLOW, x=435,  y=665,  RED: x=313,  y=283,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=616,  y=642,  dx=-0.09181158318945525,  dy=-0.0396312148721906,  clicks=0,  score=0, DARK_YELLOW: x=434,  y=667,  dx=-0.018646611853917094,  dy=-0.09824613919319863,  clicks=3,  score=3,
2.778, 3, Clicked: YELLOW, x=432,  y=655,  RED: x=301,  y=286,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=604,  y=637,  dx=-0.09181158318945525,  dy=-0.0396312148721906,  clicks=0,  score=0, DARK_YELLOW: x=432,  y=655,  dx=-0.018646611853917094,  dy=-0.09824613919319863,  clicks=4,  score=4,
2.878, 4, Clicked: YELLOW, x=425,  y=637,  RED: x=290,  y=289,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=593,  y=632,  dx=-0.09181158318945525,  dy=-0.0396312148721906,  clicks=0,  score=0, DARK_YELLOW: x=430,  y=643,  dx=-0.018646611853917094,  dy=-0.09824613919319863,  clicks=5,  score=5,
3.178, 5, Clicked: None, x=410, y=530,  RED: x=255,  y=299,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=560,  y=618,  dx=-0.09181158318945525,  dy=-0.0396312148721906,  clicks=0,  score=0, YELLOW: x=423,  y=608,  dx=-0.018646611853917094,  dy=-0.09824613919319863,  clicks=5,  score=5,
3.345, 5, Clicked: YELLOW, x=410,  y=530,  RED: x=236,  y=304,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=542,  y=610,  dx=-0.09181158318945525,  dy=-0.0396312148721906,  clicks=0,  score=0, DARK_YELLOW: x=419,  y=588,  dx=-0.018646611853917094,  dy=-0.09824613919319863,  clicks=6,  score=6,
3.461, 6, Clicked: YELLOW, x=410,  y=530,  RED: x=222,  y=307,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=531,  y=605,  dx=-0.03607193368773166,  dy=-0.026157738873732638,  clicks=0,  score=0, DARK_YELLOW: x=414,  y=574,  dx=-0.07438626135564068,  dy=-0.1117196151916566,  clicks=7,  score=7,
3.873, 7, Clicked: YELLOW, x=409,  y=528,  RED: x=174,  y=320,  dx=-0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=513,  y=592,  dx=-0.03607193368773166,  dy=-0.026157738873732638,  clicks=0,  score=0, DARK_YELLOW: x=377,  y=518,  dx=-0.07438626135564068,  dy=-0.1117196151916566,  clicks=8,  score=8,
4.334, 8, Clicked: YELLOW, x=358,  y=468,  RED: x=198,  y=335,  dx=0.09663478933787435,  dy=0.025723870035915,  clicks=0,  score=0, ORANGE: x=493,  y=578,  dx=-0.03607193368773166,  dy=-0.026157738873732638,  clicks=0,  score=0, DARK_YELLOW: x=335,  y=455,  dx=-0.07438626135564068,  dy=-0.1117196151916566,  clicks=9,  score=9,
4.714, 9, Clicked: YELLOW, x=338,  y=410,  RED: x=217,  y=323,  dx=-0.06401335170604448,  dy=-0.12292950937019215,  clicks=0,  score=0, ORANGE: x=477,  y=566,  dx=-0.03607193368773166,  dy=-0.026157738873732638,  clicks=0,  score=0, DARK_YELLOW: x=327,  y=428,  dx=0.08626187968827816,  dy=0.03693376421445055,  clicks=10,  score=10,
5.125, 10, Clicked: YELLOW, x=336,  y=405,  RED: x=185,  y=261,  dx=-0.06401335170604448,  dy=-0.12292950937019215,  clicks=0,  score=0, ORANGE: x=459,  y=552,  dx=-0.03607193368773166,  dy=-0.026157738873732638,  clicks=0,  score=0, DARK_YELLOW: x=370,  y=446,  dx=0.08626187968827816,  dy=0.03693376421445055,  clicks=11,  score=11,
5.535, 11, Clicked: YELLOW, x=395,  y=415,  RED: x=166,  y=200,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=0,  score=0, ORANGE: x=465,  y=573,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, DARK_YELLOW: x=389,  y=431,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=12,  score=12,
5.668, 12, Clicked: YELLOW, x=395,  y=415,  RED: x=176,  y=180,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=0,  score=0, ORANGE: x=471,  y=585,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, DARK_YELLOW: x=391,  y=421,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=13,  score=13,
5.785, 13, Clicked: YELLOW, x=395,  y=415,  RED: x=185,  y=163,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=0,  score=0, ORANGE: x=476,  y=595,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, DARK_YELLOW: x=393,  y=412,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=14,  score=14,
5.901, 14, Clicked: YELLOW, x=395,  y=415,  RED: x=194,  y=172,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=0,  score=0, ORANGE: x=480,  y=606,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, DARK_YELLOW: x=395,  y=403,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=15,  score=15,
6.248, 15, Clicked: YELLOW, x=395,  y=415,  RED: x=221,  y=223,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=0,  score=0, ORANGE: x=495,  y=636,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, DARK_YELLOW: x=401,  y=377,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=16,  score=16,
6.367, 16, Clicked: YELLOW, x=395,  y=415,  RED: x=230,  y=241,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=0,  score=0, ORANGE: x=500,  y=647,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, DARK_YELLOW: x=403,  y=368,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
6.846, 17, Clicked: RED, x=287,  y=312,  DARK_RED: x=267,  y=312,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=1,  score=0, ORANGE: x=521,  y=689,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, YELLOW: x=412,  y=332,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
6.963, 17, Clicked: RED, x=287,  y=312,  DARK_RED: x=276,  y=329,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=2,  score=0, ORANGE: x=526,  y=700,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, YELLOW: x=414,  y=323,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
7.195, 17, Clicked: RED, x=314,  y=382,  DARK_RED: x=294,  y=364,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=3,  score=0, ORANGE: x=536,  y=720,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, YELLOW: x=418,  y=306,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
7.391, 17, Clicked: RED, x=339,  y=420,  DARK_RED: x=309,  y=393,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=4,  score=0, ORANGE: x=544,  y=738,  dx=0.035497113081712085,  dy=0.07341977287092102,  clicks=0,  score=0, YELLOW: x=422,  y=291,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
7.54, 17, Clicked: RED, x=344,  y=428,  DARK_RED: x=321,  y=415,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=5,  score=0, ORANGE: x=551,  y=729,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=424,  y=279,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
7.77, 17, Clicked: RED, x=376,  y=490,  DARK_RED: x=339,  y=450,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=6,  score=0, ORANGE: x=561,  y=709,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=428,  y=262,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
7.901, 17, Clicked: RED, x=376,  y=496,  DARK_RED: x=349,  y=469,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=7,  score=0, ORANGE: x=566,  y=697,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=431,  y=252,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
7.983, 17, Clicked: RED, x=376,  y=505,  DARK_RED: x=355,  y=482,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=8,  score=0, ORANGE: x=570,  y=690,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=432,  y=246,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
