Tue 10 Sep 2024, 11:05PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
################# INIT balls ######################
6.096, Init stimuli, 0, 
6.096, 0, Clicked: Shuffle, x=1812, y=39,  RED: x=732,  y=347,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1749,  y=1013,  dx=-0.05708939656470226,  dy=-0.0821023799891219,  clicks=0,  score=0, YELLOW: x=70,  y=531,  dx=-0.02778815621387794,  dy=0.09606153431125863,  clicks=0,  score=0,
13.076, 0, Clicked: None, x=420, y=498, Clicked: None, x=420, y=498, Clicked: YELLOW, x=420,  y=498,  RED: x=431,  y=329,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1266,  y=227,  dx=-0.05708939656470226,  dy=-0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=394,  y=497,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=1,  score=1,
13.226, 1, Clicked: None, x=420, y=498, Clicked: None, x=420, y=498, Clicked: YELLOW, x=420,  y=498,  RED: x=449,  y=328,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1256,  y=212,  dx=-0.05708939656470226,  dy=-0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=399,  y=480,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=2,  score=2,
13.64, 2, Clicked: None, x=413, y=422, Clicked: None, x=413, y=422, Clicked: YELLOW, x=413,  y=422,  RED: x=499,  y=327,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1227,  y=171,  dx=-0.05708939656470226,  dy=-0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=413,  y=432,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=3,  score=3,
13.756, 3, Clicked: None, x=413, y=422, Clicked: None, x=413, y=422, Clicked: YELLOW, x=413,  y=422,  RED: x=513,  y=327,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1219,  y=160,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=417,  y=418,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=4,  score=4,
13.905, 4, Clicked: None, x=413, y=420, Clicked: None, x=413, y=420, Clicked: YELLOW, x=413,  y=420,  RED: x=531,  y=326,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1209,  y=174,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=422,  y=401,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=5,  score=5,
14.218, 5, Clicked: None, x=413, y=342, Clicked: None, x=413, y=342, Clicked: YELLOW, x=413,  y=342,  RED: x=569,  y=325,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1187,  y=205,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=432,  y=364,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=6,  score=6,
14.647, 6, Clicked: None, x=432, y=298, Clicked: None, x=432, y=298, Clicked: YELLOW, x=432,  y=298,  RED: x=621,  y=324,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1158,  y=248,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=447,  y=314,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=7,  score=7,
15.078, 7, Clicked: None, x=465, y=233, Clicked: None, x=465, y=233, Clicked: YELLOW, x=465,  y=233,  RED: x=673,  y=323,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1128,  y=291,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=461,  y=264,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=8,  score=8,
15.427, 8, Clicked: None, x=485, y=180, Clicked: None, x=485, y=180, Clicked: YELLOW, x=485,  y=180,  RED: x=715,  y=322,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1104,  y=325,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=473,  y=224,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=9,  score=9,
15.729, 9, Clicked: None, x=485, y=180, Clicked: None, x=485, y=180, Clicked: YELLOW, x=485,  y=180,  RED: x=751,  y=322,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1083,  y=355,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=483,  y=189,  dx=0.02778815621387794,  dy=-0.09606153431125863,  clicks=10,  score=10,
16.06, 10, Clicked: None, x=496, y=146, Clicked: None, x=496, y=146, Clicked: YELLOW, x=496,  y=146,  RED: x=791,  y=321,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1061,  y=388,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=494,  y=167,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=11,  score=11,
16.531, 11, Clicked: None, x=515, y=207, Clicked: None, x=515, y=207, Clicked: YELLOW, x=515,  y=207,  RED: x=847,  y=319,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1029,  y=434,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=510,  y=221,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=12,  score=12,
16.681, 12, Clicked: None, x=536, y=253, Clicked: None, x=536, y=253, Clicked: YELLOW, x=536,  y=253,  RED: x=865,  y=319,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1018,  y=449,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=515,  y=238,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=13,  score=13,
16.795, 13, Clicked: None, x=536, y=253, Clicked: None, x=536, y=253, Clicked: YELLOW, x=536,  y=253,  RED: x=879,  y=319,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1010,  y=460,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=519,  y=252,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=14,  score=14,
17.11, 14, Clicked: None, x=544, y=293, Clicked: None, x=544, y=293, Clicked: YELLOW, x=544,  y=293,  RED: x=917,  y=318,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=989,  y=491,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=529,  y=288,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=15,  score=15,
17.344, 15, Clicked: None, x=555, y=332, Clicked: None, x=555, y=332, Clicked: YELLOW, x=555,  y=332,  RED: x=945,  y=317,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=973,  y=514,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=537,  y=315,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
17.859, 16, Clicked: None, x=950, y=601, Clicked: ORANGE, x=950,  y=601,  RED: x=1007,  y=316,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=937,  y=565,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=1,  score=0, YELLOW: x=554,  y=375,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
18.025, 16, Clicked: None, x=950, y=601, Clicked: ORANGE, x=950,  y=601,  RED: x=1027,  y=315,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=926,  y=582,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=2,  score=0, YELLOW: x=560,  y=394,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
