Thu 12 Sep 2024, 02:21AM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
4.106, 0, Clicked: YELLOW, x=268,  y=638,  RED: x=1172,  y=666,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=0,  score=0, ORANGE: x=182,  y=725,  dx=0.11283264479634737,  dy=0.029306528338053195,  clicks=0,  score=0, DARK_YELLOW: x=270,  y=616,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=1,  score=1,
4.253, 1, Clicked: YELLOW, x=268,  y=638,  RED: x=1171,  y=684,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=0,  score=0, ORANGE: x=202,  y=730,  dx=0.11283264479634737,  dy=0.029306528338053195,  clicks=0,  score=0, DARK_YELLOW: x=281,  y=606,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
4.859, 2, Clicked: ORANGE, x=321,  y=711,  RED: x=1164,  y=722,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=0,  score=0, DARK_ORANGE: x=286,  y=728,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=1,  score=0, YELLOW: x=324,  y=566,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
4.994, 2, Clicked: ORANGE, x=321,  y=711,  RED: x=1163,  y=706,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=0,  score=0, DARK_ORANGE: x=304,  y=723,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=2,  score=0, YELLOW: x=333,  y=557,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
5.145, 2, Clicked: ORANGE, x=321,  y=711,  RED: x=1161,  y=688,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=0,  score=0, DARK_ORANGE: x=324,  y=718,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=344,  y=547,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
6.324, 2, Clicked: RED, x=1173,  y=559,  DARK_RED: x=1149,  y=544,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=1,  score=0, ORANGE: x=487,  y=676,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=428,  y=468,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
6.453, 2, Clicked: RED, x=1173,  y=558,  DARK_RED: x=1148,  y=528,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=2,  score=0, ORANGE: x=505,  y=671,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=437,  y=460,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
6.764, 2, Clicked: None, x=1173, y=558,  RED: x=1144,  y=490,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=2,  score=0, ORANGE: x=548,  y=660,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=460,  y=439,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
6.894, 2, Clicked: None, x=1170, y=530,  RED: x=1143,  y=474,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=2,  score=0, ORANGE: x=566,  y=655,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=469,  y=430,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
7.309, 2, Clicked: RED, x=1155,  y=458,  DARK_RED: x=1139,  y=425,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=3,  score=0, ORANGE: x=622,  y=640,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=498,  y=403,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
7.454, 2, Clicked: RED, x=1154,  y=447,  DARK_RED: x=1137,  y=407,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=4,  score=0, ORANGE: x=642,  y=635,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=509,  y=393,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
