Sun 08 Sep 2024, 04:54PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
1.054, 0, Clicked: RED, x=854,  y=164,  DARK_RED: x=826,  y=176,  dx=0.0737607440119463,  dy=-0.06752297862805023,  clicks=1,  score=1, ORANGE: x=560,  y=434,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=0,  score=0, YELLOW: x=1248,  y=390,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
1.203, 1, Clicked: RED, x=854,  y=163,  DARK_RED: x=840,  y=164,  dx=0.0737607440119463,  dy=-0.06752297862805023,  clicks=2,  score=2, ORANGE: x=563,  y=417,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=0,  score=0, YELLOW: x=1231,  y=383,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
1.402, 2, Clicked: RED, x=854,  y=163,  DARK_RED: x=857,  y=170,  dx=0.0737607440119463,  dy=0.06752297862805023,  clicks=3,  score=3, ORANGE: x=567,  y=393,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=0,  score=0, YELLOW: x=1209,  y=373,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
1.532, 3, Clicked: RED, x=854,  y=163,  DARK_RED: x=869,  y=181,  dx=0.0737607440119463,  dy=0.06752297862805023,  clicks=4,  score=4, ORANGE: x=570,  y=377,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=0,  score=0, YELLOW: x=1195,  y=367,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
2.082, 4, Clicked: ORANGE, x=592,  y=310,  RED: x=918,  y=226,  dx=0.0737607440119463,  dy=0.06752297862805023,  clicks=4,  score=4, DARK_ORANGE: x=581,  y=312,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=1,  score=0, YELLOW: x=1134,  y=342,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
2.215, 4, Clicked: ORANGE, x=592,  y=310,  RED: x=930,  y=236,  dx=0.0737607440119463,  dy=0.06752297862805023,  clicks=4,  score=4, DARK_ORANGE: x=584,  y=297,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=2,  score=0, YELLOW: x=1119,  y=336,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
2.347, 4, Clicked: ORANGE, x=592,  y=310,  RED: x=941,  y=247,  dx=0.0737607440119463,  dy=0.06752297862805023,  clicks=4,  score=4, DARK_ORANGE: x=587,  y=281,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=3,  score=0, YELLOW: x=1104,  y=330,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
2.445, 4, Clicked: ORANGE, x=592,  y=310,  RED: x=950,  y=255,  dx=0.0737607440119463,  dy=0.06752297862805023,  clicks=4,  score=4, DARK_ORANGE: x=589,  y=269,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=4,  score=0, YELLOW: x=1093,  y=325,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
2.526, 4, Clicked: ORANGE, x=592,  y=310,  RED: x=958,  y=262,  dx=0.0737607440119463,  dy=0.06752297862805023,  clicks=4,  score=4, DARK_ORANGE: x=591,  y=259,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=5,  score=0, YELLOW: x=1084,  y=321,  dx=-0.09236421077025267,  dy=-0.03832561243852917,  clicks=0,  score=0,
2.673, 4, Clicked: None, x=592, y=310,  RED: x=957,  y=268,  dx=-0.10426116041159564,  dy=-0.011536799026526906,  clicks=4,  score=4, ORANGE: x=594,  y=242,  dx=0.01753897126847261,  dy=-0.09844990851617737,  clicks=5,  score=0, YELLOW: x=1081,  y=321,  dx=0.08565769365328926,  dy=0.04073416521604797,  clicks=0,  score=0,
3.371, 4, Clicked: YELLOW, x=1157,  y=359,  RED: x=869,  y=258,  dx=-0.10426116041159564,  dy=-0.011536799026526906,  clicks=4,  score=4, ORANGE: x=609,  y=160,  dx=0.01753897126847261,  dy=0.09844990851617737,  clicks=5,  score=0, DARK_YELLOW: x=1153,  y=355,  dx=0.08565769365328926,  dy=0.04073416521604797,  clicks=1,  score=0,
3.487, 4, Clicked: YELLOW, x=1179,  y=363,  RED: x=855,  y=257,  dx=-0.10426116041159564,  dy=-0.011536799026526906,  clicks=4,  score=4, ORANGE: x=611,  y=173,  dx=0.01753897126847261,  dy=0.09844990851617737,  clicks=5,  score=0, DARK_YELLOW: x=1165,  y=361,  dx=0.08565769365328926,  dy=0.04073416521604797,  clicks=2,  score=0,
3.604, 4, Clicked: YELLOW, x=1183,  y=363,  RED: x=840,  y=255,  dx=-0.10426116041159564,  dy=-0.011536799026526906,  clicks=4,  score=4, ORANGE: x=614,  y=187,  dx=0.01753897126847261,  dy=0.09844990851617737,  clicks=5,  score=0, DARK_YELLOW: x=1177,  y=366,  dx=0.08565769365328926,  dy=0.04073416521604797,  clicks=3,  score=0,
3.837, 4, Clicked: YELLOW, x=1197,  y=378,  RED: x=811,  y=252,  dx=-0.10426116041159564,  dy=-0.011536799026526906,  clicks=4,  score=4, ORANGE: x=619,  y=215,  dx=0.01753897126847261,  dy=0.09844990851617737,  clicks=5,  score=0, DARK_YELLOW: x=1201,  y=378,  dx=0.08565769365328926,  dy=0.04073416521604797,  clicks=4,  score=0,
