Sun 08 Sep 2024, 04:56PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
1.29, 0, Clicked: RED, x=793,  y=517,  DARK_RED: x=792,  y=525,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=1,  score=1, ORANGE: x=377,  y=678,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=0,  score=0, YELLOW: x=523,  y=838,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=0,  score=0,
1.967, 1, Clicked: YELLOW, x=615,  y=780,  RED: x=729,  y=472,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=1,  score=1, ORANGE: x=453,  y=647,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=0,  score=0, DARK_YELLOW: x=584,  y=783,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=1,  score=0,
2.497, 1, Clicked: ORANGE, x=533,  y=638,  RED: x=681,  y=430,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=1,  score=1, DARK_ORANGE: x=512,  y=622,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=1,  score=0, YELLOW: x=631,  y=741,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=1,  score=0,
2.646, 1, Clicked: ORANGE, x=533,  y=638,  RED: x=667,  y=419,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=1,  score=1, DARK_ORANGE: x=529,  y=616,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=2,  score=0, YELLOW: x=645,  y=729,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=1,  score=0,
3.063, 1, Clicked: RED, x=606,  y=358,  DARK_RED: x=629,  y=386,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=2,  score=2, ORANGE: x=575,  y=597,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=2,  score=0, YELLOW: x=682,  y=695,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=1,  score=0,
3.195, 2, Clicked: RED, x=606,  y=358,  DARK_RED: x=617,  y=376,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=3,  score=3, ORANGE: x=590,  y=591,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=2,  score=0, YELLOW: x=694,  y=685,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=1,  score=0,
3.342, 3, Clicked: RED, x=606,  y=358,  DARK_RED: x=603,  y=364,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=4,  score=4, ORANGE: x=607,  y=584,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=2,  score=0, YELLOW: x=707,  y=673,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=1,  score=0,
3.459, 4, Clicked: RED, x=606,  y=358,  DARK_RED: x=593,  y=355,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=5,  score=5, ORANGE: x=620,  y=578,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=2,  score=0, YELLOW: x=718,  y=663,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=1,  score=0,
3.606, 5, Clicked: RED, x=606,  y=357,  DARK_RED: x=579,  y=343,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=6,  score=6, ORANGE: x=636,  y=572,  dx=0.09250869155025525,  dy=-0.03797554459990976,  clicks=2,  score=0, YELLOW: x=731,  y=651,  dx=0.07445775885899224,  dy=-0.06675359275496837,  clicks=1,  score=0,
3.803, 6, Clicked: RED, x=605,  y=356,  DARK_RED: x=561,  y=327,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=7,  score=7, ORANGE: x=656,  y=560,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=2,  score=0, YELLOW: x=752,  y=638,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
3.968, 7, Clicked: None, x=605, y=356,  RED: x=546,  y=314,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=7,  score=7, ORANGE: x=669,  y=548,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=2,  score=0, YELLOW: x=772,  y=628,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
