Sun 08 Sep 2024, 11:42PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
1.137, 0, Clicked: RED, x=790,  y=214,  DARK_RED: x=797,  y=191,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=1,  score=1, ORANGE: x=1172,  y=576,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=726,  y=666,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=0,  score=0,
1.32, 1, Clicked: RED, x=775,  y=214,  DARK_RED: x=775,  y=190,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=2,  score=2, ORANGE: x=1150,  y=574,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=748,  y=667,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=0,  score=0,
1.467, 2, Clicked: RED, x=775,  y=214,  DARK_RED: x=757,  y=189,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=3,  score=3, ORANGE: x=1132,  y=572,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=766,  y=667,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=0,  score=0,
1.612, 3, Clicked: RED, x=714,  y=210,  DARK_RED: x=739,  y=188,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=4,  score=4, ORANGE: x=1114,  y=570,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=784,  y=668,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=0,  score=0,
1.744, 4, Clicked: RED, x=712,  y=210,  DARK_RED: x=723,  y=187,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=5,  score=5, ORANGE: x=1099,  y=568,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=800,  y=668,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=0,  score=0,
1.86, 5, Clicked: RED, x=712,  y=209,  DARK_RED: x=709,  y=187,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=6,  score=6, ORANGE: x=1085,  y=567,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=814,  y=669,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=0,  score=0,
1.974, 6, Clicked: RED, x=710,  y=208,  DARK_RED: x=695,  y=186,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=1071,  y=565,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=828,  y=669,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=0,  score=0,
2.839, 7, Clicked: YELLOW, x=932,  y=663,  RED: x=591,  y=182,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=967,  y=554,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=932,  y=673,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=1,  score=0,
2.988, 7, Clicked: YELLOW, x=933,  y=664,  RED: x=573,  y=181,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=949,  y=552,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=950,  y=673,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=2,  score=0,
3.401, 7, Clicked: YELLOW, x=977,  y=660,  RED: x=523,  y=179,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=900,  y=547,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1000,  y=675,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=3,  score=0,
3.517, 7, Clicked: YELLOW, x=999,  y=657,  RED: x=509,  y=178,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=886,  y=545,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1014,  y=675,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=4,  score=0,
3.664, 7, Clicked: YELLOW, x=1017,  y=656,  RED: x=491,  y=177,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=868,  y=543,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1032,  y=676,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=5,  score=0,
3.781, 7, Clicked: YELLOW, x=1065,  y=664,  RED: x=477,  y=177,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=854,  y=542,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1046,  y=676,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=6,  score=0,
3.914, 7, Clicked: YELLOW, x=1085,  y=669,  RED: x=461,  y=176,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=838,  y=540,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1062,  y=677,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=7,  score=1,
4.181, 8, Clicked: YELLOW, x=1098,  y=674,  RED: x=429,  y=175,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=806,  y=537,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1094,  y=678,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=8,  score=2,
4.298, 9, Clicked: YELLOW, x=1098,  y=674,  RED: x=415,  y=174,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=792,  y=535,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1108,  y=678,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=9,  score=3,
4.448, 10, Clicked: YELLOW, x=1119,  y=675,  RED: x=397,  y=173,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=774,  y=533,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1126,  y=679,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=10,  score=4,
4.582, 11, Clicked: YELLOW, x=1132,  y=675,  RED: x=381,  y=173,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=758,  y=532,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1142,  y=679,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=11,  score=5,
4.697, 12, Clicked: YELLOW, x=1143,  y=675,  RED: x=367,  y=172,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=745,  y=530,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1156,  y=680,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=12,  score=6,
4.813, 13, Clicked: YELLOW, x=1162,  y=678,  RED: x=353,  y=171,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=731,  y=529,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1170,  y=680,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=13,  score=7,
4.945, 14, Clicked: YELLOW, x=1167,  y=679,  RED: x=337,  y=171,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=715,  y=527,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1186,  y=681,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=14,  score=8,
5.406, 15, Clicked: YELLOW, x=1250,  y=656,  RED: x=284,  y=168,  dx=-0.09990668998678416,  dy=-0.004318946154399353,  clicks=7,  score=7, ORANGE: x=661,  y=521,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1240,  y=683,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=15,  score=9,
