Tue 10 Sep 2024, 10:47PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
2.576, 0, Clicked: RED, x=531,  y=601,  DARK_RED: x=533,  y=585,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=1,  score=1, ORANGE: x=580,  y=192,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=824,  y=215,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
2.726, 1, Clicked: RED, x=531,  y=601,  DARK_RED: x=527,  y=568,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=2,  score=2, ORANGE: x=593,  y=205,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=839,  y=224,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
3.087, 2, Clicked: RED, x=514,  y=536,  DARK_RED: x=513,  y=526,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=3,  score=3, ORANGE: x=625,  y=235,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=877,  y=247,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
3.204, 3, Clicked: RED, x=514,  y=536,  DARK_RED: x=509,  y=513,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=4,  score=4, ORANGE: x=636,  y=245,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=889,  y=254,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
3.355, 4, Clicked: RED, x=514,  y=536,  DARK_RED: x=503,  y=496,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=5,  score=5, ORANGE: x=649,  y=257,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=905,  y=263,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
3.492, 5, Clicked: RED, x=514,  y=536,  DARK_RED: x=498,  y=481,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=6,  score=6, ORANGE: x=660,  y=268,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=918,  y=272,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
4.169, 6, Clicked: RED, x=476,  y=368,  DARK_RED: x=472,  y=405,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=7,  score=7, ORANGE: x=719,  y=323,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=987,  y=313,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
4.899, 7, Clicked: RED, x=463,  y=291,  DARK_RED: x=444,  y=321,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=8,  score=8, ORANGE: x=783,  y=383,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1062,  y=358,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
5.502, 8, Clicked: RED, x=425,  y=244,  DARK_RED: x=421,  y=253,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=9,  score=9, ORANGE: x=835,  y=432,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1124,  y=395,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
6.148, 9, Clicked: RED, x=410,  y=185,  DARK_RED: x=396,  y=179,  dx=-0.03197006494777562,  dy=-0.09475185986161438,  clicks=10,  score=10, ORANGE: x=892,  y=486,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1191,  y=435,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
6.649, 10, Clicked: RED, x=401,  y=156,  DARK_RED: x=377,  y=196,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=11,  score=11, ORANGE: x=936,  y=527,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1242,  y=466,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
7.147, 11, Clicked: RED, x=395,  y=256,  DARK_RED: x=358,  y=252,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=12,  score=12, ORANGE: x=979,  y=568,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1294,  y=497,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
7.727, 12, Clicked: RED, x=363,  y=356,  DARK_RED: x=335,  y=319,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=13,  score=13, ORANGE: x=1030,  y=616,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1354,  y=533,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
8.178, 13, Clicked: RED, x=345,  y=386,  DARK_RED: x=318,  y=370,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=14,  score=14, ORANGE: x=1069,  y=653,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1400,  y=561,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
8.325, 14, Clicked: RED, x=332,  y=407,  DARK_RED: x=312,  y=387,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=15,  score=15, ORANGE: x=1083,  y=666,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1415,  y=570,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
8.458, 15, Clicked: RED, x=319,  y=423,  DARK_RED: x=307,  y=402,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=16,  score=16, ORANGE: x=1094,  y=676,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1429,  y=579,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
8.654, 16, Clicked: RED, x=319,  y=425,  DARK_RED: x=299,  y=425,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=17,  score=17, ORANGE: x=1112,  y=693,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1450,  y=591,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
8.803, 17, Clicked: RED, x=316,  y=429,  DARK_RED: x=294,  y=442,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=18,  score=18, ORANGE: x=1125,  y=705,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1465,  y=600,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
8.985, 18, Clicked: RED, x=302,  y=456,  DARK_RED: x=287,  y=463,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=19,  score=19, ORANGE: x=1141,  y=720,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1484,  y=611,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
9.134, 19, Clicked: RED, x=293,  y=473,  DARK_RED: x=281,  y=480,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=20,  score=20, ORANGE: x=1154,  y=733,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1499,  y=621,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
9.284, 20, Clicked: RED, x=285,  y=487,  DARK_RED: x=275,  y=497,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=21,  score=21, ORANGE: x=1167,  y=745,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1515,  y=630,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
9.467, 21, Clicked: RED, x=277,  y=504,  DARK_RED: x=268,  y=518,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=22,  score=22, ORANGE: x=1183,  y=760,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1534,  y=641,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
9.845, 22, Clicked: RED, x=257,  y=550,  DARK_RED: x=253,  y=561,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=23,  score=23, ORANGE: x=1217,  y=792,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1573,  y=665,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
10.041, 23, Clicked: RED, x=238,  y=600,  DARK_RED: x=246,  y=584,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=24,  score=24, ORANGE: x=1234,  y=808,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1594,  y=677,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
10.22, 24, Clicked: RED, x=242,  y=625,  DARK_RED: x=239,  y=605,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=25,  score=25, ORANGE: x=1250,  y=823,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1613,  y=689,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
10.366, 25, Clicked: RED, x=237,  y=633,  DARK_RED: x=234,  y=618,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=26,  score=26, ORANGE: x=1260,  y=833,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1625,  y=696,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
10.599, 26, Clicked: RED, x=231,  y=653,  DARK_RED: x=225,  y=645,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=27,  score=27, ORANGE: x=1281,  y=852,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1649,  y=710,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
10.765, 27, Clicked: RED, x=230,  y=665,  DARK_RED: x=219,  y=664,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=28,  score=28, ORANGE: x=1295,  y=866,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1666,  y=721,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
10.879, 28, Clicked: RED, x=229,  y=683,  DARK_RED: x=214,  y=677,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=29,  score=29, ORANGE: x=1305,  y=875,  dx=0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1678,  y=728,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
11.614, 29, Clicked: RED, x=176,  y=768,  DARK_RED: x=186,  y=762,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=30,  score=30, ORANGE: x=1371,  y=903,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1755,  y=774,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
11.762, 30, Clicked: RED, x=170,  y=794,  DARK_RED: x=180,  y=779,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=31,  score=31, ORANGE: x=1384,  y=891,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1749,  y=783,  dx=-0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
